x_m,y_m
-1.580575301632431569e+06,-3.961747614694831427e+05
-1.580200059858687920e+06,-3.945500428535467945e+05
-1.580449708024610300e+06,-3.925503557481750613e+05
-1.581325426202503499e+06,-3.911747301436819835e+05
-1.580950143829558976e+06,-3.901750201544449083e+05
-1.581076257188879652e+06,-3.881751007185662747e+05
-1.581699628534969408e+06,-3.871751615677748341e+05
-1.581699821064502001e+06,-3.865502047828320065e+05
-1.582699908147206297e+06,-3.859246065596258850e+05
-1.583075156365701929e+06,-3.850496580583524192e+05
-1.583825086422013817e+06,-3.848005274491740856e+05
-1.583700259237978142e+06,-3.840502577795148245e+05
-1.584074705517599592e+06,-3.835497168309248518e+05
-1.583450354810761288e+06,-3.835503301397552714e+05
-1.583950363741122419e+06,-3.822998177224801620e+05
-1.583824955529997591e+06,-3.814251209446047433e+05
-1.583325313581069000e+06,-3.816750940644841758e+05
-1.582824749301924603e+06,-3.826750284975357354e+05
-1.582450164760596119e+06,-3.826754647649096441e+05
-1.581948192258499796e+06,-3.826929929457728867e+05
-1.582011330009100493e+06,-3.830034788393068011e+05
-1.581824747985079419e+06,-3.833001777274951455e+05
-1.581574961930190679e+06,-3.829248383314377279e+05
-1.581449804781926330e+06,-3.824246371705534402e+05
-1.580949578204488615e+06,-3.824248925596170593e+05
-1.580575327713724459e+06,-3.829252299155419460e+05
-1.580733863436228596e+06,-3.820712679268321372e+05
-1.580699882723733084e+06,-3.809246188769071014e+05
-1.581699995955124497e+06,-3.798002906097047380e+05
-1.582075168632756919e+06,-3.798003624898940325e+05
-1.583324974161281949e+06,-3.780504468470287975e+05
-1.584449672235780861e+06,-3.776749955569717567e+05
-1.584575360936209792e+06,-3.765500704528526985e+05
-1.585574958037612494e+06,-3.751757377782288822e+05
-1.585950045693589142e+06,-3.739249253023553756e+05
-1.585200282288016519e+06,-3.714253840810261900e+05
-1.586699514395456528e+06,-3.684252093430260429e+05
-1.585450125302700792e+06,-3.655497196906700847e+05
-1.587075087419543415e+06,-3.635499283051038510e+05
-1.587074703482951969e+06,-3.624254534037156263e+05
-1.587950050776927499e+06,-3.614250695423146244e+05
-1.587200093530485872e+06,-3.616749860243482399e+05
-1.587450413515194319e+06,-3.610498963225957705e+05
-1.586450279477898031e+06,-3.591751356235129060e+05
-1.585951320420562290e+06,-3.564247828969719121e+05
-1.585574401311129332e+06,-3.560499770536517608e+05
-1.585200333629891044e+06,-3.544248581876563258e+05
-1.586449040133601287e+06,-3.522995295732212835e+05
-1.588074776917012408e+06,-3.506746907392657013e+05
-1.589075073613357265e+06,-3.489254753876218456e+05
-1.588824653457293753e+06,-3.485493861899950425e+05
-1.588450221830175491e+06,-3.485497161739615840e+05
-1.588200165890125791e+06,-3.488007558891525259e+05
-1.587449868672028417e+06,-3.487999462637878023e+05
-1.587323982830210123e+06,-3.481749823582074605e+05
-1.586575366230730666e+06,-3.481746371368240798e+05
-1.586575140864334069e+06,-3.475501797864188557e+05
-1.586699382057567360e+06,-3.470495662395841209e+05
-1.587950001196177909e+06,-3.457999369143526419e+05
-1.588199695954764262e+06,-3.438001329307552078e+05
-1.588699753145864466e+06,-3.430500929069797858e+05
-1.588575219851944596e+06,-3.396753974738551187e+05
-1.590075264069141122e+06,-3.380499763293672586e+05
-1.590950039846437518e+06,-3.376744650320634828e+05
-1.591324561379744438e+06,-3.366752321571725770e+05
-1.591180984487248119e+06,-3.361364187734315637e+05
-1.591200031215142459e+06,-3.356749990527901682e+05
-1.591824748332862277e+06,-3.346751668382108328e+05
-1.592574687443651957e+06,-3.341747793404812692e+05
-1.592240056848729029e+06,-3.327801968756458955e+05
-1.592240195255445084e+06,-3.300797431046915590e+05
-1.592689629248658661e+06,-3.296296982948915102e+05
-1.593589523157963296e+06,-3.296300659243747359e+05
-1.594039674503258197e+06,-3.291796020624209777e+05
-1.594910693263611989e+06,-3.302244165124492720e+05
-1.596171590899818111e+06,-3.303393296913460945e+05
-1.595807861493271776e+06,-3.313024400396140991e+05
-1.596487607269309228e+06,-3.321204596502394415e+05
-1.599101417628227733e+06,-3.305173377155949129e+05
-1.601925151933897519e+06,-3.282731516481857980e+05
-1.602924482076484477e+06,-3.284198935371789266e+05
-1.604395233002565801e+06,-3.276461502564921393e+05
-1.610153610992514296e+06,-3.271285293054162175e+05
-1.616967288989066845e+06,-3.261606326171992114e+05
-1.624164051992086694e+06,-3.266273079118652968e+05
-1.626561935002247337e+06,-3.263935611365829827e+05
-1.628654714010185795e+06,-3.260319098392802989e+05
